,Number of People,Number of Items,Optimal P-Envy,Wall Clock Time
0,1.0,1.0,0.0,0.025589942932128906
1,1.0,1.0,0.0,0.006110191345214844
2,1.0,1.0,0.0,0.005425930023193359
3,1.0,1.0,0.0,0.0049707889556884766
4,1.0,1.0,0.0,0.005257844924926758
5,1.0,1.0,0.0,0.005378007888793945
6,1.0,1.0,0.0,0.014068365097045898
7,1.0,1.0,0.0,0.005769968032836914
8,1.0,1.0,0.0,0.0057070255279541016
9,1.0,1.0,0.0,0.0049321651458740234
10,1.0,1.0,0.0,0.00465703010559082
11,1.0,1.0,0.0,0.006732940673828125
12,1.0,1.0,0.0,0.005195140838623047
13,1.0,1.0,0.0,0.004800081253051758
14,1.0,1.0,0.0,0.005613088607788086
15,1.0,1.0,0.0,0.005494117736816406
16,1.0,1.0,0.0,0.004557132720947266
17,1.0,1.0,0.0,0.005549907684326172
18,1.0,1.0,0.0,0.005145072937011719
19,1.0,1.0,0.0,0.004488945007324219
20,1.0,1.0,0.0,0.005613088607788086
21,1.0,1.0,0.0,0.005248069763183594
22,1.0,1.0,0.0,0.00535893440246582
23,1.0,1.0,0.0,0.0056171417236328125
24,1.0,1.0,0.0,0.004651069641113281
25,1.0,1.0,0.0,0.005127906799316406
26,1.0,1.0,0.0,0.005370140075683594
27,1.0,1.0,0.0,0.005409955978393555
28,1.0,1.0,0.0,0.005796194076538086
29,1.0,1.0,0.0,0.005515098571777344
30,2.0,1.0,1.0,0.015316963195800781
31,2.0,1.0,1.0,0.005872964859008789
32,2.0,1.0,1.0,0.006208896636962891
33,2.0,1.0,1.0,0.006632804870605469
34,2.0,1.0,1.0,0.0070841312408447266
35,2.0,1.0,1.0,0.00669097900390625
36,2.0,1.0,1.0,0.0072939395904541016
37,2.0,1.0,1.0,0.0065343379974365234
38,2.0,1.0,1.0,0.007113933563232422
39,2.0,1.0,1.0,0.006414890289306641
40,2.0,1.0,1.0,0.006813764572143555
41,2.0,1.0,1.0,0.006519794464111328
42,2.0,1.0,1.0,0.006618976593017578
43,2.0,1.0,1.0,0.006551027297973633
44,2.0,1.0,1.0,0.0056760311126708984
45,2.0,1.0,1.0,0.0072479248046875
46,2.0,1.0,1.0,0.006997108459472656
47,2.0,1.0,1.0,0.0076160430908203125
48,2.0,1.0,1.0,0.006710052490234375
49,2.0,1.0,1.0,0.006989002227783203
50,2.0,1.0,1.0,0.00683903694152832
51,2.0,1.0,1.0,0.007315874099731445
52,2.0,1.0,1.0,0.006471872329711914
53,2.0,1.0,1.0,0.005886077880859375
54,2.0,1.0,1.0,0.006642818450927734
55,2.0,1.0,1.0,0.005781888961791992
56,2.0,1.0,1.0,0.0062389373779296875
57,2.0,1.0,1.0,0.005646944046020508
58,2.0,1.0,1.0,0.006184101104736328
59,2.0,1.0,1.0,0.006647825241088867
60,3.0,1.0,1.0,0.009009838104248047
61,3.0,1.0,1.0,0.007634162902832031
62,3.0,1.0,1.0,0.00811314582824707
63,3.0,1.0,1.0,0.0072329044342041016
64,3.0,1.0,1.0,0.007293224334716797
65,3.0,1.0,1.0,0.007543087005615234
66,3.0,1.0,1.0,0.00814509391784668
67,3.0,1.0,1.0,0.0074291229248046875
68,3.0,1.0,1.0,0.007347822189331055
69,3.0,1.0,1.0,0.0068438053131103516
70,3.0,1.0,1.0,0.008123159408569336
71,3.0,1.0,1.0,0.008908987045288086
72,3.0,1.0,1.0,0.007222652435302734
73,3.0,1.0,1.0,0.006697893142700195
74,3.0,1.0,1.0,0.007860898971557617
75,3.0,1.0,1.0,0.008175134658813477
76,3.0,1.0,1.0,0.008414983749389648
77,3.0,1.0,1.0,0.007380962371826172
78,3.0,1.0,1.0,0.0068361759185791016
79,3.0,1.0,1.0,0.0073888301849365234
80,3.0,1.0,1.0,0.007771968841552734
81,3.0,1.0,1.0,0.007498979568481445
82,3.0,1.0,1.0,0.008371829986572266
83,3.0,1.0,1.0,0.00789499282836914
84,3.0,1.0,1.0,0.008088111877441406
85,3.0,1.0,1.0,0.006987094879150391
86,3.0,1.0,1.0,0.0074977874755859375
87,3.0,1.0,1.0,0.007632255554199219
88,3.0,1.0,1.0,0.008038043975830078
89,3.0,1.0,1.0,0.007217884063720703
90,4.0,1.0,1.0,0.008436918258666992
91,4.0,1.0,1.0,0.007319927215576172
92,4.0,1.0,1.0,0.0075490474700927734
93,4.0,1.0,1.0,0.006720066070556641
94,4.0,1.0,1.0,0.007348775863647461
95,4.0,1.0,1.0,0.006925106048583984
96,4.0,1.0,1.0,0.007953166961669922
97,4.0,1.0,1.0,0.00726008415222168
98,4.0,1.0,1.0,0.007368803024291992
99,4.0,1.0,1.0,0.008049249649047852
100,4.0,1.0,1.0,0.007750272750854492
101,4.0,1.0,1.0,0.007819890975952148
102,4.0,1.0,1.0,0.008506059646606445
103,4.0,1.0,1.0,0.006997823715209961
104,4.0,1.0,1.0,0.007721900939941406
105,4.0,1.0,1.0,0.007860898971557617
106,4.0,1.0,1.0,0.008111000061035156
107,4.0,1.0,1.0,0.007230997085571289
108,4.0,1.0,1.0,0.008271932601928711
109,4.0,1.0,1.0,0.007625102996826172
110,4.0,1.0,1.0,0.007748842239379883
111,4.0,1.0,1.0,0.009142637252807617
112,4.0,1.0,1.0,0.008723020553588867
113,4.0,1.0,1.0,0.008986949920654297
114,4.0,1.0,1.0,0.008348703384399414
115,4.0,1.0,1.0,0.00787210464477539
116,4.0,1.0,1.0,0.008626937866210938
117,4.0,1.0,1.0,0.007772922515869141
118,4.0,1.0,1.0,0.007317066192626953
119,4.0,1.0,1.0,0.013324975967407227
120,5.0,1.0,1.0,0.008640050888061523
121,5.0,1.0,1.0,0.008021116256713867
122,5.0,1.0,1.0,0.007262229919433594
123,5.0,1.0,1.0,0.008677244186401367
124,5.0,1.0,1.0,0.008273839950561523
125,5.0,1.0,1.0,0.007035017013549805
126,5.0,1.0,1.0,0.008312702178955078
127,5.0,1.0,1.0,0.015297889709472656
128,5.0,1.0,1.0,0.007854938507080078
129,5.0,1.0,1.0,0.010135889053344727
130,5.0,1.0,1.0,0.007150173187255859
131,5.0,1.0,1.0,0.009552001953125
132,5.0,1.0,1.0,0.00769805908203125
133,5.0,1.0,1.0,0.008564949035644531
134,5.0,1.0,1.0,0.00900125503540039
135,5.0,1.0,1.0,0.007912158966064453
136,5.0,1.0,1.0,0.009150981903076172
137,5.0,1.0,1.0,0.006880998611450195
138,5.0,1.0,1.0,0.007356882095336914
139,5.0,1.0,1.0,0.0070950984954833984
140,5.0,1.0,1.0,0.006850004196166992
141,5.0,1.0,1.0,0.0068738460540771484
142,5.0,1.0,1.0,0.0071408748626708984
143,5.0,1.0,1.0,0.006901979446411133
144,5.0,1.0,1.0,0.006974935531616211
145,5.0,1.0,1.0,0.0075550079345703125
146,5.0,1.0,1.0,0.007673978805541992
147,5.0,1.0,1.0,0.008424997329711914
148,5.0,1.0,1.0,0.008579015731811523
149,5.0,1.0,1.0,0.006893157958984375
150,6.0,1.0,1.0,0.007071971893310547
151,6.0,1.0,1.0,0.007522106170654297
152,6.0,1.0,1.0,0.007761955261230469
153,6.0,1.0,1.0,0.007218122482299805
154,6.0,1.0,1.0,0.00916600227355957
155,6.0,1.0,1.0,0.007173061370849609
156,6.0,1.0,1.0,0.011157035827636719
157,6.0,1.0,1.0,0.009433746337890625
158,6.0,1.0,1.0,0.008958816528320312
159,6.0,1.0,1.0,0.007391929626464844
160,6.0,1.0,1.0,0.00832509994506836
161,6.0,1.0,1.0,0.007443904876708984
162,6.0,1.0,1.0,0.007976770401000977
163,6.0,1.0,1.0,0.0073201656341552734
164,6.0,1.0,1.0,0.007803916931152344
165,6.0,1.0,1.0,0.0073359012603759766
166,6.0,1.0,1.0,0.009083986282348633
167,6.0,1.0,1.0,0.008179903030395508
168,6.0,1.0,1.0,0.007729053497314453
169,6.0,1.0,1.0,0.007627010345458984
170,6.0,1.0,1.0,0.009389877319335938
171,6.0,1.0,1.0,0.007730960845947266
172,6.0,1.0,1.0,0.008060216903686523
173,6.0,1.0,1.0,0.008038043975830078
174,6.0,1.0,1.0,0.007091999053955078
175,6.0,1.0,1.0,0.007150888442993164
176,6.0,1.0,1.0,0.00718998908996582
177,6.0,1.0,1.0,0.008224964141845703
178,6.0,1.0,1.0,0.0069010257720947266
179,6.0,1.0,1.0,0.008727073669433594
180,7.0,1.0,1.0,0.007063150405883789
181,7.0,1.0,1.0,0.008587121963500977
182,7.0,1.0,1.0,0.007264137268066406
183,7.0,1.0,1.0,0.008002996444702148
184,7.0,1.0,1.0,0.00794529914855957
185,7.0,1.0,1.0,0.008197784423828125
186,7.0,1.0,1.0,0.0077931880950927734
187,7.0,1.0,1.0,0.008720159530639648
188,7.0,1.0,1.0,0.007972002029418945
189,7.0,1.0,1.0,0.009873151779174805
190,7.0,1.0,1.0,0.008127927780151367
191,7.0,1.0,1.0,0.007970094680786133
192,7.0,1.0,1.0,0.007315158843994141
193,7.0,1.0,1.0,0.008089780807495117
194,7.0,1.0,1.0,0.008236169815063477
195,7.0,1.0,1.0,0.0077550411224365234
196,7.0,1.0,1.0,0.008484125137329102
197,7.0,1.0,1.0,0.007222175598144531
198,7.0,1.0,1.0,0.00849008560180664
199,7.0,1.0,1.0,0.0074329376220703125
200,7.0,1.0,1.0,0.007915019989013672
201,7.0,1.0,1.0,0.007807016372680664
202,7.0,1.0,1.0,0.007511138916015625
203,7.0,1.0,1.0,0.008163928985595703
204,7.0,1.0,1.0,0.008275985717773438
205,7.0,1.0,1.0,0.007360935211181641
206,7.0,1.0,1.0,0.008224964141845703
207,7.0,1.0,1.0,0.007506847381591797
208,7.0,1.0,1.0,0.007740020751953125
209,7.0,1.0,1.0,0.00805211067199707
210,8.0,1.0,1.0,0.007960081100463867
211,8.0,1.0,1.0,0.00837087631225586
212,8.0,1.0,1.0,0.007591962814331055
213,8.0,1.0,1.0,0.00976109504699707
214,8.0,1.0,1.0,0.00857090950012207
215,8.0,1.0,1.0,0.008044004440307617
216,8.0,1.0,1.0,0.00803995132446289
217,8.0,1.0,1.0,0.008059263229370117
218,8.0,1.0,1.0,0.007055759429931641
219,8.0,1.0,1.0,0.008813142776489258
220,8.0,1.0,1.0,0.0074920654296875
221,8.0,1.0,1.0,0.008355855941772461
222,8.0,1.0,1.0,0.008005142211914062
223,8.0,1.0,1.0,0.0075321197509765625
224,8.0,1.0,1.0,0.00808405876159668
225,8.0,1.0,1.0,0.00872492790222168
226,8.0,1.0,1.0,0.007521629333496094
227,8.0,1.0,1.0,0.008510828018188477
228,8.0,1.0,1.0,0.007090091705322266
229,8.0,1.0,1.0,0.00847482681274414
230,8.0,1.0,1.0,0.007842779159545898
231,8.0,1.0,1.0,0.0072400569915771484
232,8.0,1.0,1.0,0.008597135543823242
233,8.0,1.0,1.0,0.007754802703857422
234,8.0,1.0,1.0,0.007344245910644531
235,8.0,1.0,1.0,0.007468700408935547
236,8.0,1.0,1.0,0.0071108341217041016
237,8.0,1.0,1.0,0.009424924850463867
238,8.0,1.0,1.0,0.007304191589355469
239,8.0,1.0,1.0,0.009401082992553711
240,9.0,1.0,1.0,0.007701873779296875
241,9.0,1.0,1.0,0.014241933822631836
242,9.0,1.0,1.0,0.008385896682739258
243,9.0,1.0,1.0,0.007963895797729492
244,9.0,1.0,1.0,0.008135080337524414
245,9.0,1.0,1.0,0.007544279098510742
246,9.0,1.0,1.0,0.007493257522583008
247,9.0,1.0,1.0,0.008503198623657227
248,9.0,1.0,1.0,0.0070819854736328125
249,9.0,1.0,1.0,0.008284807205200195
250,9.0,1.0,1.0,0.007318973541259766
251,9.0,1.0,1.0,0.00823664665222168
252,9.0,1.0,1.0,0.007951974868774414
253,9.0,1.0,1.0,0.008007049560546875
254,9.0,1.0,1.0,0.008559226989746094
255,9.0,1.0,1.0,0.008430957794189453
256,9.0,1.0,1.0,0.007266044616699219
257,9.0,1.0,1.0,0.008491039276123047
258,9.0,1.0,1.0,0.0072591304779052734
259,9.0,1.0,1.0,0.007903814315795898
260,9.0,1.0,1.0,0.008048295974731445
261,9.0,1.0,1.0,0.007796049118041992
262,9.0,1.0,1.0,0.008769989013671875
263,9.0,1.0,1.0,0.0081939697265625
264,9.0,1.0,1.0,0.007196903228759766
265,9.0,1.0,1.0,0.00807809829711914
266,9.0,1.0,1.0,0.007217884063720703
267,9.0,1.0,1.0,0.007570028305053711
268,9.0,1.0,1.0,0.007153034210205078
269,9.0,1.0,1.0,0.007962226867675781
270,10.0,1.0,1.0,0.00890803337097168
271,10.0,1.0,1.0,0.007812023162841797
272,10.0,1.0,1.0,0.009633779525756836
273,10.0,1.0,1.0,0.0074329376220703125
